switch_id,timestamp,power_consumption
wm_01,2025-04-25 03:45:48,1456.65
ac_01,2025-04-25 03:45:48,344.18
ac_03,2025-04-25 03:45:48,684.18
lt_01,2025-04-25 03:45:48,63.05
ac_02,2025-04-25 03:45:48,422.01
tv_01,2025-04-25 03:45:48,136.37
mw_01,2025-04-25 03:45:48,1084.68
lt_04,2025-04-25 03:45:48,69.54
wm_01,2025-04-25 03:46:48,777.84
rf_01,2025-04-25 03:46:48,153.27
lt_05,2025-04-25 03:46:48,52.28
lt_04,2025-04-25 03:46:48,30.46
mw_01,2025-04-25 03:46:48,1058.2
tv_01,2025-04-25 03:46:48,139.34
lt_01,2025-04-25 03:47:48,20.76
lt_05,2025-04-25 03:47:48,87.02
lt_04,2025-04-25 03:47:48,45.8
sp_01,2025-04-25 03:47:48,155.08
tv_01,2025-04-25 03:47:48,74.07
wm_01,2025-04-25 03:47:48,723.31
lt_03,2025-04-25 03:47:48,50.4
ac_03,2025-04-25 03:47:48,448.02
mw_01,2025-04-25 03:47:48,1031.02
ac_02,2025-04-25 03:47:48,344.31
lt_04,2025-04-25 03:48:48,34.3
sp_01,2025-04-25 03:48:48,143.15
rf_01,2025-04-25 03:48:48,184.47
wm_01,2025-04-25 03:48:48,395.44
ac_03,2025-04-25 03:48:48,370.13
lt_05,2025-04-25 03:48:48,64.54
ac_02,2025-04-25 03:48:48,316.72
lt_01,2025-04-25 03:48:48,57.19
ac_01,2025-04-25 03:48:48,618.63
dw_01,2025-04-25 03:48:48,1020.59
sp_01,2025-04-25 03:49:48,38.44
mw_01,2025-04-25 03:49:48,1064.13
lt_02,2025-04-25 03:49:48,11.14
dw_01,2025-04-25 03:49:48,1296.32
wm_01,2025-04-25 03:49:48,972.61
ac_01,2025-04-25 03:49:48,321.56
lt_02,2025-04-25 03:50:48,40.35
sp_01,2025-04-25 03:50:48,127.36
ac_01,2025-04-25 03:50:48,523.28
lt_04,2025-04-25 03:50:48,20.59
tv_01,2025-04-25 03:50:48,93.67
lt_01,2025-04-25 03:50:48,98.84
wm_01,2025-04-25 03:50:48,1418.52
ac_03,2025-04-25 03:51:48,452.29
dw_01,2025-04-25 03:51:48,1011.62
mw_01,2025-04-25 03:51:48,974.41
lt_04,2025-04-25 03:51:48,155.22
rf_01,2025-04-25 03:51:48,161.96
wm_01,2025-04-25 03:51:48,360.71
lt_06,2025-04-25 03:51:48,81.87
lt_03,2025-04-25 03:52:48,68.58
lt_06,2025-04-25 03:52:48,40.03
mw_01,2025-04-25 03:52:48,1000.89
lt_05,2025-04-25 03:52:48,74.64
ac_01,2025-04-25 03:52:48,483.84
lt_04,2025-04-25 03:52:48,44.87
rf_01,2025-04-25 03:52:48,167.02
sp_01,2025-04-25 03:52:48,46.9
tv_01,2025-04-25 03:52:48,148.25
dw_01,2025-04-25 03:52:48,913.64
ac_02,2025-04-25 03:52:48,602.55
ac_03,2025-04-25 03:52:48,446.91
lt_03,2025-04-25 03:53:48,99.85
lt_05,2025-04-25 03:53:48,98.35
lt_01,2025-04-25 03:53:48,77.94
dw_01,2025-04-25 03:53:48,856.88
sp_01,2025-04-25 03:53:48,132.48
tv_01,2025-04-25 03:53:48,73.87
rf_01,2025-04-25 03:53:48,197.8
ac_03,2025-04-25 03:53:48,386.43
mw_01,2025-04-25 03:53:48,1065.66
lt_04,2025-04-25 03:53:48,20.07
ac_02,2025-04-25 03:54:48,626.59
lt_02,2025-04-25 03:54:48,22.2
lt_06,2025-04-25 03:54:48,62.48
rf_01,2025-04-25 03:54:48,106.38
mw_01,2025-04-25 03:54:48,973.58
ac_01,2025-04-25 03:54:48,602.91
lt_05,2025-04-25 03:55:48,83.93
tv_01,2025-04-25 03:55:48,72.91
dw_01,2025-04-25 03:55:48,848.53
lt_02,2025-04-25 03:55:48,67.9
sp_01,2025-04-25 03:55:48,60.13
lt_04,2025-04-25 03:55:48,55.33
lt_01,2025-04-25 03:55:48,90.57
lt_03,2025-04-25 03:55:48,28.25
lt_01,2025-04-25 03:56:48,36.6
ac_02,2025-04-25 03:56:48,410.66
mw_01,2025-04-25 03:56:48,1198.98
ac_01,2025-04-25 03:56:48,624.25
rf_01,2025-04-25 03:56:48,140.68
lt_04,2025-04-25 03:57:48,47.69
lt_03,2025-04-25 03:57:48,77.89
mw_01,2025-04-25 03:57:48,1011.38
wm_01,2025-04-25 03:57:48,842.87
ac_03,2025-04-25 03:57:48,660.41
rf_01,2025-04-25 03:57:48,107.15
ac_01,2025-04-25 03:57:48,697.75
lt_05,2025-04-25 03:57:48,12.92
lt_03,2025-04-25 03:58:48,26.71
ac_02,2025-04-25 03:58:48,579.43
lt_01,2025-04-25 03:58:48,36.23
wm_01,2025-04-25 03:58:48,421.18
ac_03,2025-04-25 03:58:48,358.61
lt_02,2025-04-25 03:58:48,12.23
ac_02,2025-04-25 03:59:48,549.68
lt_05,2025-04-25 03:59:48,50.32
dw_01,2025-04-25 03:59:48,1280.05
lt_06,2025-04-25 03:59:48,71.17
ac_03,2025-04-25 03:59:48,540.51
tv_01,2025-04-25 03:59:48,148.44
mw_01,2025-04-25 03:59:48,1126.25
lt_04,2025-04-25 03:59:48,53.03
lt_01,2025-04-25 03:59:48,67.55
lt_03,2025-04-25 03:59:48,24.45
wm_01,2025-04-25 03:59:48,1176.12
lt_02,2025-04-25 03:59:48,52.18
ac_01,2025-04-25 04:00:48,641.3
wm_01,2025-04-25 04:00:48,526.9
lt_04,2025-04-25 04:00:48,19.44
dw_01,2025-04-25 04:00:48,1276.77
lt_05,2025-04-25 04:00:48,66.55
lt_01,2025-04-25 04:00:48,64.24
ac_02,2025-04-25 04:01:48,379.39
lt_01,2025-04-25 04:01:48,67.02
mw_01,2025-04-25 04:01:48,1133.21
rf_01,2025-04-25 04:01:48,194.39
ac_01,2025-04-25 04:01:48,488.33
lt_03,2025-04-25 04:01:48,39.36
sp_01,2025-04-25 04:01:48,152.37
ac_01,2025-04-25 04:02:48,671.91
mw_01,2025-04-25 04:02:48,1109.24
lt_05,2025-04-25 04:02:48,92.44
sp_01,2025-04-25 04:02:48,150.26
lt_04,2025-04-25 04:02:48,74.71
wm_01,2025-04-25 04:02:48,1468.44
rf_01,2025-04-25 04:02:48,141.04
ac_02,2025-04-25 04:02:48,384.75
ac_03,2025-04-25 04:02:48,488.53
lt_04,2025-04-25 04:03:48,52.25
ac_02,2025-04-25 04:03:48,367.1
dw_01,2025-04-25 04:03:48,1078.49
sp_01,2025-04-25 04:03:48,88.51
wm_01,2025-04-25 04:03:48,487.13
ac_01,2025-04-25 04:03:48,676.14
tv_01,2025-04-25 04:03:48,123.18
lt_02,2025-04-25 04:03:48,45.16
dw_01,2025-04-25 04:04:48,835.51
lt_05,2025-04-25 04:04:48,31.94
mw_01,2025-04-25 04:04:48,1014.47
lt_06,2025-04-25 04:04:48,95.64
lt_03,2025-04-25 04:04:48,22.51
rf_01,2025-04-25 04:04:48,162.99
lt_04,2025-04-25 04:04:48,10.11
tv_01,2025-04-25 04:04:48,90.88
lt_01,2025-04-25 04:04:48,18.12
ac_03,2025-04-25 04:04:48,591.65
sp_01,2025-04-25 04:04:48,87.75
lt_03,2025-04-25 04:05:48,97.4
lt_01,2025-04-25 04:05:48,75.07
lt_04,2025-04-25 04:05:48,92.91
wm_01,2025-04-25 04:05:48,1079.84
